Strain gage
	Number of sensors	3			
Sensor	1	Time (s)	34	F (N)	9.670938924
Sensor	2	Time (s)	34	F (N)	6.586185777
Sensor	3	Time (s)	34	F (N)	9.939938381
Sensor	1	Time (s)	35	F (N)	0.459940117
Sensor	2	Time (s)	35	F (N)	2.980440218
Sensor	3	Time (s)	35	F (N)	1.958165577
Sensor	1	Time (s)	36	F (N)	3.329913248
Sensor	2	Time (s)	36	F (N)	2.701705706
Sensor	3	Time (s)	36	F (N)	8.076543221
Sensor	1	Time (s)	37	F (N)	3.429365637
Sensor	2	Time (s)	37	F (N)	6.308204088
Sensor	3	Time (s)	37	F (N)	9.454620679
Sensor	1	Time (s)	38	F (N)	7.191150886
Sensor	2	Time (s)	38	F (N)	6.563295165
Sensor	3	Time (s)	38	F (N)	3.306099367
Sensor	1	Time (s)	39	F (N)	7.618265443
Sensor	2	Time (s)	39	F (N)	1.104389448
Sensor	3	Time (s)	39	F (N)	6.631921866
Sensor	1	Time (s)	40	F (N)	2.458299108
Sensor	2	Time (s)	40	F (N)	6.082531051
Sensor	3	Time (s)	40	F (N)	6.486392062
Sensor	1	Time (s)	41	F (N)	8.793001468
Sensor	2	Time (s)	41	F (N)	4.105253041
Sensor	3	Time (s)	41	F (N)	3.573161905
Sensor	1	Time (s)	42	F (N)	5.937594472
Sensor	2	Time (s)	42	F (N)	6.704274393
Sensor	3	Time (s)	42	F (N)	3.950259117
Sensor	1	Time (s)	43	F (N)	3.122871691
Sensor	2	Time (s)	43	F (N)	5.919067429
Sensor	3	Time (s)	43	F (N)	3.149555298
Sensor	1	Time (s)	44	F (N)	8.514249294
Sensor	2	Time (s)	44	F (N)	3.960478635
Sensor	3	Time (s)	44	F (N)	3.637043542
Sensor	1	Time (s)	45	F (N)	4.897184189
Sensor	2	Time (s)	45	F (N)	8.421087653
Sensor	3	Time (s)	45	F (N)	1.319915797
Sensor	1	Time (s)	46	F (N)	8.237123783
Sensor	2	Time (s)	46	F (N)	9.426080534
Sensor	3	Time (s)	46	F (N)	9.58861653
Sensor	1	Time (s)	47	F (N)	1.296771363
Sensor	2	Time (s)	47	F (N)	9.895846164
Sensor	3	Time (s)	47	F (N)	4.19895004
Sensor	1	Time (s)	48	F (N)	9.801738088
Sensor	2	Time (s)	48	F (N)	9.979389904
Sensor	3	Time (s)	48	F (N)	6.950704384
Sensor	1	Time (s)	49	F (N)	7.214140976
Sensor	2	Time (s)	49	F (N)	6.525238817
Sensor	3	Time (s)	49	F (N)	0.895450157
Sensor	1	Time (s)	50	F (N)	7.995006119
Sensor	2	Time (s)	50	F (N)	6.420952267
Sensor	3	Time (s)	50	F (N)	1.280897602
Sensor	1	Time (s)	51	F (N)	6.157808564
Sensor	2	Time (s)	51	F (N)	1.107685954
Sensor	3	Time (s)	51	F (N)	8.031151991
Sensor	1	Time (s)	52	F (N)	2.11108614
Sensor	2	Time (s)	52	F (N)	2.305826516
Sensor	3	Time (s)	52	F (N)	4.548338994
Sensor	1	Time (s)	53	F (N)	7.36907035
Sensor	2	Time (s)	53	F (N)	4.331647087
Sensor	3	Time (s)	53	F (N)	1.186901314
Sensor	1	Time (s)	54	F (N)	1.315717251
Sensor	2	Time (s)	54	F (N)	7.54220993
Sensor	3	Time (s)	54	F (N)	0.459574548
Sensor	1	Time (s)	55	F (N)	4.719393953
Sensor	2	Time (s)	55	F (N)	8.09300766
Sensor	3	Time (s)	55	F (N)	2.495590083
Sensor	1	Time (s)	56	F (N)	8.380873278
Sensor	2	Time (s)	56	F (N)	4.883451285
Sensor	3	Time (s)	56	F (N)	6.075731271
Sensor	1	Time (s)	57	F (N)	1.155040037
Sensor	2	Time (s)	57	F (N)	7.54582409
Sensor	3	Time (s)	57	F (N)	4.816497439
Sensor	1	Time (s)	58	F (N)	3.288583748
Sensor	2	Time (s)	58	F (N)	7.312765488
Sensor	3	Time (s)	58	F (N)	3.429935129
Sensor	1	Time (s)	59	F (N)	9.44900993
Sensor	2	Time (s)	59	F (N)	7.586710544
Sensor	3	Time (s)	59	F (N)	7.932834773
Sensor	1	Time (s)	60	F (N)	7.732604083
Sensor	2	Time (s)	60	F (N)	5.468259869
Sensor	3	Time (s)	60	F (N)	6.205274456
Sensor	1	Time (s)	61	F (N)	9.675024491
Sensor	2	Time (s)	61	F (N)	6.121957366
Sensor	3	Time (s)	61	F (N)	8.296075477
Sensor	1	Time (s)	62	F (N)	5.653398225
Sensor	2	Time (s)	62	F (N)	4.069712644
Sensor	3	Time (s)	62	F (N)	8.646257605
Sensor	1	Time (s)	63	F (N)	4.150612461
Sensor	2	Time (s)	63	F (N)	3.406828602
Sensor	3	Time (s)	63	F (N)	7.999080809
Sensor	1	Time (s)	64	F (N)	4.921837145
Sensor	2	Time (s)	64	F (N)	6.758763054
Sensor	3	Time (s)	64	F (N)	6.805661828
Sensor	1	Time (s)	65	F (N)	8.159001085
Sensor	2	Time (s)	65	F (N)	0.184528907
Sensor	3	Time (s)	65	F (N)	7.323683004
Sensor	1	Time (s)	66	F (N)	9.085540713
Sensor	2	Time (s)	66	F (N)	2.219832136
Sensor	3	Time (s)	66	F (N)	7.122793465
Sensor	1	Time (s)	67	F (N)	8.996518651
Sensor	2	Time (s)	67	F (N)	2.305039713
Sensor	3	Time (s)	67	F (N)	5.967686645
Sensor	1	Time (s)	68	F (N)	0.419713708
Sensor	2	Time (s)	68	F (N)	0.911026308
Sensor	3	Time (s)	68	F (N)	9.691015273
Sensor	1	Time (s)	69	F (N)	3.121564571
Sensor	2	Time (s)	69	F (N)	7.635181404
Sensor	3	Time (s)	69	F (N)	2.301748201
Sensor	1	Time (s)	70	F (N)	6.011074891
Sensor	2	Time (s)	70	F (N)	9.499667592
Sensor	3	Time (s)	70	F (N)	7.919913934
Sensor	1	Time (s)	71	F (N)	0.472808687
Sensor	2	Time (s)	71	F (N)	8.523563359
Sensor	3	Time (s)	71	F (N)	2.0793846
Sensor	1	Time (s)	72	F (N)	0.72267814
Sensor	2	Time (s)	72	F (N)	0.933371482
Sensor	3	Time (s)	72	F (N)	5.618877624
Sensor	1	Time (s)	73	F (N)	5.226776225
Sensor	2	Time (s)	73	F (N)	9.780258238
Sensor	3	Time (s)	73	F (N)	3.860826058
Sensor	1	Time (s)	74	F (N)	8.985363701
Sensor	2	Time (s)	74	F (N)	8.763454976
Sensor	3	Time (s)	74	F (N)	4.99174881
Sensor	1	Time (s)	75	F (N)	0.247024771
Sensor	2	Time (s)	75	F (N)	8.960340541
Sensor	3	Time (s)	75	F (N)	8.271195476
Sensor	1	Time (s)	76	F (N)	6.765592067
Sensor	2	Time (s)	76	F (N)	0.356582613
Sensor	3	Time (s)	76	F (N)	9.245237553
Sensor	1	Time (s)	77	F (N)	3.513425322
Sensor	2	Time (s)	77	F (N)	6.671961648
Sensor	3	Time (s)	77	F (N)	1.776194303
Sensor	1	Time (s)	78	F (N)	8.488259939
Sensor	2	Time (s)	78	F (N)	5.522193437
Sensor	3	Time (s)	78	F (N)	4.93504088
Sensor	1	Time (s)	79	F (N)	2.880591123
Sensor	2	Time (s)	79	F (N)	6.995316476
Sensor	3	Time (s)	79	F (N)	0.158165498
Sensor	1	Time (s)	80	F (N)	7.319643652
Sensor	2	Time (s)	80	F (N)	4.862780392
Sensor	3	Time (s)	80	F (N)	2.499923243
Sensor	1	Time (s)	81	F (N)	3.245759822
Sensor	2	Time (s)	81	F (N)	6.702356572
Sensor	3	Time (s)	81	F (N)	4.783974985
Sensor	1	Time (s)	82	F (N)	5.850753022
Sensor	2	Time (s)	82	F (N)	2.954675728
Sensor	3	Time (s)	82	F (N)	4.693858686
Sensor	1	Time (s)	83	F (N)	2.636248119
Sensor	2	Time (s)	83	F (N)	5.289705583
Sensor	3	Time (s)	83	F (N)	0.279609216
Sensor	1	Time (s)	84	F (N)	3.171918946
Sensor	2	Time (s)	84	F (N)	1.041140011
Sensor	3	Time (s)	84	F (N)	2.132820588
Sensor	1	Time (s)	85	F (N)	1.5770993
Sensor	2	Time (s)	85	F (N)	5.59507887
Sensor	3	Time (s)	85	F (N)	2.453955803
Sensor	1	Time (s)	86	F (N)	9.188968027
Sensor	2	Time (s)	86	F (N)	9.18400944
Sensor	3	Time (s)	86	F (N)	0.009528943
Sensor	1	Time (s)	87	F (N)	0.746139398
Sensor	2	Time (s)	87	F (N)	4.297301414
Sensor	3	Time (s)	87	F (N)	2.227575043
Sensor	1	Time (s)	88	F (N)	0.212655751
Sensor	2	Time (s)	88	F (N)	1.579456454
Sensor	3	Time (s)	88	F (N)	9.07116469
Sensor	1	Time (s)	89	F (N)	4.845714399
Sensor	2	Time (s)	89	F (N)	9.499621551
Sensor	3	Time (s)	89	F (N)	2.417820014
Sensor	1	Time (s)	90	F (N)	3.673892001
Sensor	2	Time (s)	90	F (N)	7.746352063
Sensor	3	Time (s)	90	F (N)	8.160481399
Sensor	1	Time (s)	91	F (N)	3.656919771
Sensor	2	Time (s)	91	F (N)	7.335685008
Sensor	3	Time (s)	91	F (N)	8.811127451
Sensor	1	Time (s)	92	F (N)	2.954985892
Sensor	2	Time (s)	92	F (N)	4.559962571
Sensor	3	Time (s)	92	F (N)	5.222428238
Sensor	1	Time (s)	93	F (N)	2.892268611
Sensor	2	Time (s)	93	F (N)	7.380672519
Sensor	3	Time (s)	93	F (N)	4.232048145
Sensor	1	Time (s)	94	F (N)	4.276173045
Sensor	2	Time (s)	94	F (N)	7.36295135
Sensor	3	Time (s)	94	F (N)	3.021303748
Sensor	1	Time (s)	95	F (N)	0.729202676
Sensor	2	Time (s)	95	F (N)	7.42188127
Sensor	3	Time (s)	95	F (N)	9.128593948
Sensor	1	Time (s)	96	F (N)	8.08601892
Sensor	2	Time (s)	96	F (N)	8.247531807
Sensor	3	Time (s)	96	F (N)	4.335222521
Sensor	1	Time (s)	97	F (N)	1.531583231
Sensor	2	Time (s)	97	F (N)	8.497455032
Sensor	3	Time (s)	97	F (N)	7.969047576
Sensor	1	Time (s)	98	F (N)	2.746714372
Sensor	2	Time (s)	98	F (N)	1.039995323
Sensor	3	Time (s)	98	F (N)	6.201144157
Sensor	1	Time (s)	99	F (N)	0.215681008
Sensor	2	Time (s)	99	F (N)	9.322152171
Sensor	3	Time (s)	99	F (N)	6.178080237
Sensor	1	Time (s)	100	F (N)	1.155834696
Sensor	2	Time (s)	100	F (N)	7.57416419
Sensor	3	Time (s)	100	F (N)	9.014869801
End data					
